ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Sydney,1884/85,Test # 20,England,269,126,1st INNINGS,269,0,-40,77,0,126,0,4,England,0,1st INNINGS,2,Australia,0
Sydney,1884/85,Test # 20,Australia,309,169.3,1st INNINGS,0,309,40,0,38,0,169.3,4,England,0,1st INNINGS,1,Australia,1
Melbourne,1884/85,Test # 21,Australia,163,106,1st INNINGS,163,0,-223,125,0,106,0,5,Australia,0,1st INNINGS,1,England,0
Melbourne,1884/85,Test # 21,England,386,221.3,1st INNINGS,0,386,223,0,0,0,221.3,5,Australia,0,1st INNINGS,2,England,1
Old,1886,Test # 22,Australia,205,137.1,1st INNINGS,205,0,-18,123,0,137.1,0,3,Australia,0,1st INNINGS,2,England,0
Old,1886,Test # 22,England,223,157.2,1st INNINGS,0,223,18,0,107,0,157.2,3,Australia,0,1st INNINGS,1,England,1
"Lord's,",1886,Test # 23,England,353,259,1st INNINGS,353,0,232,126,0,259,0,3,England,0,1st INNINGS,1,England,1
"Lord's,",1886,Test # 23,Australia,121,82.3,1st INNINGS,0,121,-232,0,0,0,82.3,3,England,0,1st INNINGS,2,England,0
Kennington,1886,Test # 24,England,434,304.1,1st INNINGS,434,0,366,149,0,304.1,0,3,England,0,1st INNINGS,1,England,1
Kennington,1886,Test # 24,Australia,68,60.2,1st INNINGS,0,68,-366,0,0,0,60.2,3,England,0,1st INNINGS,2,England,0
Sydney,1886/87,Test # 25,England,45,35.3,1st INNINGS,45,0,-74,184,0,35.3,0,4,0,Australia,1st INNINGS,2,England,1
Sydney,1886/87,Test # 25,Australia,119,113.1,1st INNINGS,0,119,74,0,97,0,113.1,4,0,Australia,1st INNINGS,1,England,0
Sydney,1886/87,Test # 26,England,151,109,1st INNINGS,151,0,67,154,0,109,0,5,England,0,1st INNINGS,2,England,1
Sydney,1886/87,Test # 26,Australia,84,55.1,1st INNINGS,0,84,-67,0,150,0,55.1,5,England,0,1st INNINGS,1,England,0
Sydney,1887/88,Test # 27,England,113,100,1st INNINGS,113,0,71,137,0,100,0,6,0,Australia,1st INNINGS,2,England,1
Sydney,1887/88,Test # 27,Australia,42,37.3,1st INNINGS,0,42,-71,0,82,0,37.3,6,0,Australia,1st INNINGS,1,England,0
"Lord's,",1888,Test # 28,Australia,116,71.2,1st INNINGS,116,0,63,60,0,71.2,0,2,Australia,0,1st INNINGS,2,Australia,1
"Lord's,",1888,Test # 28,England,53,50,1st INNINGS,0,53,-63,0,62,0,50,2,Australia,0,1st INNINGS,1,Australia,0
Kennington,1888,Test # 29,Australia,80,90.3,1st INNINGS,80,0,-237,100,0,90.3,0,2,Australia,0,1st INNINGS,2,England,0
Kennington,1888,Test # 29,England,317,138.2,1st INNINGS,0,317,237,0,0,0,138.2,2,Australia,0,1st INNINGS,1,England,1
Old,1888,Test # 30,England,172,113.1,1st INNINGS,172,0,91,70,0,113.1,0,2,England,0,1st INNINGS,1,England,1
Old,1888,Test # 30,Australia,81,52.2,1st INNINGS,0,81,-91,0,0,0,52.2,2,England,0,1st INNINGS,2,England,0
Crusaders,1888/89,Test # 31,South Africa,84,75.2,1st INNINGS,84,0,-64,129,0,75.2,0,2,South Africa,0,1st INNINGS,1,England,0
Crusaders,1888/89,Test # 31,England,148,66.2,1st INNINGS,0,148,64,0,67,0,66.2,2,South Africa,0,1st INNINGS,2,England,1
"Newlands,",1888/89,Test # 32,England,292,123.1,1st INNINGS,292,0,245,43,0,123.1,0,2,England,0,1st INNINGS,2,England,1
"Newlands,",1888/89,Test # 32,South Africa,47,47.1,1st INNINGS,0,47,-245,0,0,0,47.1,2,England,0,1st INNINGS,1,England,0
"Lord's,",1890,Test # 33,Australia,132,86,1st INNINGS,132,0,-41,176,0,86,0,3,Australia,0,1st INNINGS,2,England,0
"Lord's,",1890,Test # 33,England,173,110.1,1st INNINGS,0,173,41,0,137,0,110.1,3,Australia,0,1st INNINGS,1,England,1
Kennington,1890,Test # 34,Australia,92,65.2,1st INNINGS,92,0,-8,102,0,65.2,0,2,Australia,0,1st INNINGS,2,England,0
Kennington,1890,Test # 34,England,100,55,1st INNINGS,0,100,8,0,95,0,55,2,Australia,0,1st INNINGS,1,England,1
Melbourne,1891/92,Test # 35,Australia,240,151.1,1st INNINGS,240,0,-24,236,0,151.1,0,6,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1891/92,Test # 35,England,264,91.4,1st INNINGS,0,264,24,0,158,0,91.4,6,Australia,0,1st INNINGS,2,Australia,0
Sydney,1891/92,Test # 36,Australia,144,94.2,1st INNINGS,144,0,-163,391,0,94.2,0,6,Australia,0,1st INNINGS,1,Australia,1
Sydney,1891/92,Test # 36,England,307,114.2,1st INNINGS,0,307,163,0,156,0,114.2,6,Australia,0,1st INNINGS,2,Australia,0
"Newlands,",1891/92,Test # 37,South Africa,97,58.2,1st INNINGS,97,0,-272,83,0,58.2,0,4,South Africa,0,1st INNINGS,1,England,0
"Newlands,",1891/92,Test # 37,England,369,119.2,1st INNINGS,0,369,272,0,0,0,119.2,4,South Africa,0,1st INNINGS,2,England,1
Adelaide,1891/92,Test # 38,England,499,173.1,1st INNINGS,499,0,399,169,0,173.1,0,5,England,0,1st INNINGS,2,England,1
Adelaide,1891/92,Test # 38,Australia,100,42.5,1st INNINGS,0,100,-399,0,0,0,42.5,5,England,0,1st INNINGS,1,England,0
"Lord's,",1893,Test # 39,England,334,125,1st INNINGS,334,0,65,234,0,125,0,3,England,0,1st INNINGS,1,drawn,2
"Lord's,",1893,Test # 39,Australia,269,114.1,1st INNINGS,0,269,-65,0,0,0,114.1,3,England,0,1st INNINGS,2,drawn,2
Kennington,1893,Test # 40,England,483,187,1st INNINGS,483,0,392,349,0,187,0,3,England,0,1st INNINGS,1,England,1
Kennington,1893,Test # 40,Australia,91,37.3,1st INNINGS,0,91,-392,0,0,0,37.3,3,England,0,1st INNINGS,2,England,0
Old,1893,Test # 41,Australia,204,96.4,1st INNINGS,204,0,-39,236,0,96.4,0,3,Australia,0,1st INNINGS,2,drawn,2
Old,1893,Test # 41,England,243,140.2,1st INNINGS,0,243,39,0,118,0,140.2,3,Australia,0,1st INNINGS,1,drawn,2
Sydney,1894/95,Test # 42,Australia,586,172.3,1st INNINGS,586,0,261,437,0,172.3,0,7,Australia,0,1st INNINGS,1,England,0
