ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Green,1958/59,Test # 461,India,222,101.4,1st INNINGS,0,222,0,0,240,0,101.4,6,West Indies,0,1st INNINGS,1,West Indies,0
Melbourne,1958/59,Test # 462,England,259,98.5,1st INNINGS,259,0,-49,87,0,98.5,0,6,England,0,1st INNINGS,2,Australia,0
Melbourne,1958/59,Test # 462,Australia,308,100.2,1st INNINGS,0,308,49,0,42,0,100.2,6,England,0,1st INNINGS,1,Australia,1
Eden,1958/59,Test # 463,West Indies,614,162.1,1st INNINGS,614,0,490,154,0,162.1,0,5,West Indies,0,1st INNINGS,2,West Indies,1
Eden,1958/59,Test # 463,India,124,62.5,1st INNINGS,0,124,-490,0,0,0,62.5,5,West Indies,0,1st INNINGS,1,West Indies,0
Sydney,1958/59,Test # 464,England,219,82.4,1st INNINGS,219,0,-138,287,0,82.4,0,7,England,0,1st INNINGS,2,drawn,2
Sydney,1958/59,Test # 464,Australia,357,128.2,1st INNINGS,0,357,138,0,54,0,128.2,7,England,0,1st INNINGS,1,drawn,2
Corporation,1958/59,Test # 465,West Indies,500,181,1st INNINGS,500,0,278,168,0,181,0,6,West Indies,0,1st INNINGS,2,West Indies,1
Corporation,1958/59,Test # 465,India,222,78.1,1st INNINGS,0,222,-278,0,151,0,78.1,6,West Indies,0,1st INNINGS,1,West Indies,0
Adelaide,1958/59,Test # 466,Australia,476,128.1,1st INNINGS,476,0,236,270,0,128.1,0,7,0,England,1st INNINGS,1,Australia,1
Adelaide,1958/59,Test # 466,England,240,74.1,1st INNINGS,0,240,-236,0,36,0,74.1,7,0,England,1st INNINGS,2,Australia,0
Feroz,1958/59,Test # 467,India,415,141.3,1st INNINGS,415,0,-229,275,0,141.3,0,6,India,0,1st INNINGS,1,drawn,2
Feroz,1958/59,Test # 467,West Indies,644,214,1st INNINGS,0,644,229,0,0,0,214,6,India,0,1st INNINGS,2,drawn,2
Melbourne,1958/59,Test # 468,England,205,64.5,1st INNINGS,205,0,-146,214,0,64.5,0,6,0,Australia,1st INNINGS,2,Australia,0
Melbourne,1958/59,Test # 468,Australia,351,100.5,1st INNINGS,0,351,146,0,69,0,100.5,6,0,Australia,1st INNINGS,1,Australia,1
National,1958/59,Test # 469,West Indies,146,60,1st INNINGS,146,0,-158,245,0,60,0,6,0,Pakistan,1st INNINGS,2,Pakistan,0
National,1958/59,Test # 469,Pakistan,304,160.2,1st INNINGS,0,304,158,0,88,0,160.2,6,0,Pakistan,1st INNINGS,1,Pakistan,1
Lancaster,1958/59,Test # 470,England,374,142.1,1st INNINGS,374,0,232,133,0,142.1,0,4,England,0,1st INNINGS,2,England,1
Lancaster,1958/59,Test # 470,New Zealand,142,72.5,1st INNINGS,0,142,-232,0,0,0,72.5,4,England,0,1st INNINGS,1,England,0
Dacca,1958/59,Test # 471,Pakistan,145,75.3,1st INNINGS,145,0,69,144,0,75.3,0,3,0,West Indies,1st INNINGS,1,Pakistan,1
Dacca,1958/59,Test # 471,West Indies,76,36.3,1st INNINGS,0,76,-69,0,172,0,36.3,3,0,West Indies,1st INNINGS,2,Pakistan,0
Eden,1958/59,Test # 472,New Zealand,181,89.3,1st INNINGS,181,0,-130,0,0,89.3,0,5,New Zealand,0,1st INNINGS,1,drawn,2
Eden,1958/59,Test # 472,England,311,118,1st INNINGS,0,311,130,0,0,0,118,5,New Zealand,0,1st INNINGS,2,drawn,2
"Bagh-e-Jinnah,",1958/59,Test # 473,West Indies,469,149.3,1st INNINGS,469,0,260,104,0,149.3,0,6,West Indies,0,1st INNINGS,2,West Indies,1
"Bagh-e-Jinnah,",1958/59,Test # 473,Pakistan,209,79.2,1st INNINGS,0,209,-260,0,0,0,79.2,6,West Indies,0,1st INNINGS,1,West Indies,0
Trent,1959,Test # 474,England,422,143.2,1st INNINGS,422,0,216,157,0,143.2,0,5,England,0,1st INNINGS,1,England,1
Trent,1959,Test # 474,India,206,102.5,1st INNINGS,0,206,-216,0,0,0,102.5,5,England,0,1st INNINGS,2,England,0
"Lord's,",1959,Test # 475,India,168,77.4,1st INNINGS,168,0,-58,165,0,77.4,0,3,India,0,1st INNINGS,2,England,0
"Lord's,",1959,Test # 475,England,226,84.4,1st INNINGS,0,226,58,0,108,0,84.4,3,India,0,1st INNINGS,1,England,1
"Headingley,",1959,Test # 476,India,161,68.5,1st INNINGS,161,0,-322,149,0,68.5,0,3,India,0,1st INNINGS,2,England,0
"Headingley,",1959,Test # 476,England,483,174.3,1st INNINGS,0,483,322,0,0,0,174.3,3,India,0,1st INNINGS,1,England,1
Old,1959,Test # 477,England,490,174.1,1st INNINGS,490,0,282,265,0,174.1,0,6,England,0,1st INNINGS,1,England,1
Old,1959,Test # 477,India,208,79,1st INNINGS,0,208,-282,0,376,0,79,6,England,0,1st INNINGS,2,England,0
Kennington,1959,Test # 478,India,140,85.3,1st INNINGS,140,0,-221,194,0,85.3,0,5,India,0,1st INNINGS,2,England,0
Kennington,1959,Test # 478,England,361,147.3,1st INNINGS,0,361,221,0,0,0,147.3,5,India,0,1st INNINGS,1,England,1
Dacca,1959/60,Test # 479,Pakistan,200,105.5,1st INNINGS,200,0,-25,134,0,105.5,0,6,0,Australia,1st INNINGS,1,Australia,0
Dacca,1959/60,Test # 479,Australia,225,78.5,1st INNINGS,0,225,25,0,112,0,78.5,6,0,Australia,1st INNINGS,2,Australia,1
Lahore,1959/60,Test # 480,Pakistan,146,66,1st INNINGS,146,0,-245,366,0,66,0,6,Pakistan,0,1st INNINGS,1,Australia,0
Lahore,1959/60,Test # 480,Australia,391,118.3,1st INNINGS,0,391,245,0,123,0,118.3,6,Pakistan,0,1st INNINGS,2,Australia,1
National,1959/60,Test # 481,Pakistan,287,131.5,1st INNINGS,287,0,30,194,0,131.5,0,6,Pakistan,0,1st INNINGS,1,drawn,2
National,1959/60,Test # 481,Australia,257,82.2,1st INNINGS,0,257,-30,0,83,0,82.2,6,Pakistan,0,1st INNINGS,2,drawn,2
Feroz,1959/60,Test # 482,India,135,59.4,1st INNINGS,135,0,-333,206,0,59.4,0,5,India,0,1st INNINGS,1,Australia,0
Feroz,1959/60,Test # 482,Australia,468,143,1st INNINGS,0,468,333,0,0,0,143,5,India,0,1st INNINGS,2,Australia,1
Green,1959/60,Test # 483,India,152,70.1,1st INNINGS,152,0,-67,291,0,70.1,0,6,India,0,1st INNINGS,1,India,1
Green,1959/60,Test # 483,Australia,219,77.5,1st INNINGS,0,219,67,0,105,0,77.5,6,India,0,1st INNINGS,2,India,0
Brabourne,1959/60,Test # 484,India,289,142.5,1st INNINGS,289,0,-98,226,0,142.5,0,6,India,0,1st INNINGS,1,drawn,2
Brabourne,1959/60,Test # 484,Australia,387,140,1st INNINGS,0,387,98,0,34,0,140,6,India,0,1st INNINGS,2,drawn,2
Kensington,1959/60,Test # 485,England,482,188.4,1st INNINGS,482,0,-81,71,0,188.4,0,7,England,0,1st INNINGS,2,drawn,2
Kensington,1959/60,Test # 485,West Indies,563,239.4,1st INNINGS,0,563,81,0,0,0,239.4,7,England,0,1st INNINGS,1,drawn,2
Corporation,1959/60,Test # 486,Australia,342,153,1st INNINGS,342,0,193,138,0,153,0,5,Australia,0,1st INNINGS,2,Australia,1
Corporation,1959/60,Test # 486,India,149,77.1,1st INNINGS,0,149,-193,0,0,0,77.1,5,Australia,0,1st INNINGS,1,Australia,0
Eden,1959/60,Test # 487,India,194,89.3,1st INNINGS,194,0,-137,339,0,89.3,0,6,India,0,1st INNINGS,1,drawn,2
Eden,1959/60,Test # 487,Australia,331,111.1,1st INNINGS,0,331,137,0,121,0,111.1,6,India,0,1st INNINGS,2,drawn,2
Queen's,1959/60,Test # 488,England,382,143.5,1st INNINGS,382,0,270,230,0,143.5,0,7,England,0,1st INNINGS,2,England,1
Queen's,1959/60,Test # 488,West Indies,112,68.3,1st INNINGS,0,112,-270,0,244,0,68.3,7,England,0,1st INNINGS,1,England,0
Sabina,1959/60,Test # 489,England,277,104.2,1st INNINGS,277,0,-76,305,0,104.2,0,7,England,0,1st INNINGS,2,drawn,2
Sabina,1959/60,Test # 489,West Indies,353,156.1,1st INNINGS,0,353,76,0,175,0,156.1,7,England,0,1st INNINGS,1,drawn,2
"Bourda,",1959/60,Test # 490,England,295,119.2,1st INNINGS,295,0,-107,334,0,119.2,0,7,England,0,1st INNINGS,2,drawn,2
"Bourda,",1959/60,Test # 490,West Indies,402,172,1st INNINGS,0,402,107,0,0,0,172,7,England,0,1st INNINGS,1,drawn,2
Queen's,1959/60,Test # 491,England,393,123.2,1st INNINGS,393,0,55,350,0,123.2,0,7,England,0,1st INNINGS,2,drawn,2
Queen's,1959/60,Test # 491,West Indies,338,119.3,1st INNINGS,0,338,-55,0,209,0,119.3,7,England,0,1st INNINGS,1,drawn,2
"Edgbaston,",1960,Test # 492,England,292,150.5,1st INNINGS,292,0,106,203,0,150.5,0,6,England,0,1st INNINGS,1,England,1
"Edgbaston,",1960,Test # 492,South Africa,186,82.5,1st INNINGS,0,186,-106,0,209,0,82.5,6,England,0,1st INNINGS,2,England,0
"Lord's,",1960,Test # 493,England,362,129,1st INNINGS,362,0,210,137,0,129,0,5,England,0,1st INNINGS,1,England,1
"Lord's,",1960,Test # 493,South Africa,152,43.3,1st INNINGS,0,152,-210,0,0,0,43.3,5,England,0,1st INNINGS,2,England,0
Trent,1960,Test # 494,England,287,125.3,1st INNINGS,287,0,199,247,0,125.3,0,5,England,0,1st INNINGS,1,England,1
Trent,1960,Test # 494,South Africa,88,38.3,1st INNINGS,0,88,-199,0,49,0,38.3,5,England,0,1st INNINGS,2,England,0
Old,1960,Test # 495,England,260,93,1st INNINGS,260,0,31,153,0,93,0,6,England,0,1st INNINGS,1,drawn,2
Old,1960,Test # 495,South Africa,229,89.5,1st INNINGS,0,229,-31,0,46,0,89.5,6,England,0,1st INNINGS,2,drawn,2
Kennington,1960,Test # 496,England,155,76.3,1st INNINGS,155,0,-264,479,0,76.3,0,6,England,0,1st INNINGS,1,drawn,2
Kennington,1960,Test # 496,South Africa,419,171.1,1st INNINGS,0,419,264,0,97,0,171.1,6,England,0,1st INNINGS,2,drawn,2
Brabourne,1960/61,Test # 497,Pakistan,350,137.4,1st INNINGS,350,0,-99,166,0,137.4,0,6,Pakistan,0,1st INNINGS,2,drawn,2
Brabourne,1960/61,Test # 497,India,449,176.4,1st INNINGS,0,449,99,0,0,0,176.4,6,Pakistan,0,1st INNINGS,1,drawn,2
Brisbane,1960/61,Test # 498,West Indies,453,100.6,1st INNINGS,453,0,-52,284,0,100.6,0,6,West Indies,0,1st INNINGS,2,tied,1
Brisbane,1960/61,Test # 498,Australia,505,130.3,1st INNINGS,0,505,52,0,232,0,130.3,6,West Indies,0,1st INNINGS,1,tied,0
Green,1960/61,Test # 499,Pakistan,335,188.4,1st INNINGS,335,0,-69,140,0,188.4,0,6,Pakistan,0,1st INNINGS,2,drawn,2
Green,1960/61,Test # 499,India,404,193.5,1st INNINGS,0,404,69,0,0,0,193.5,6,Pakistan,0,1st INNINGS,1,drawn,2
Melbourne,1960/61,Test # 500,Australia,348,66.1,1st INNINGS,348,0,167,233,0,66.1,0,5,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1960/61,Test # 500,West Indies,181,69.2,1st INNINGS,0,181,-167,0,70,0,69.2,5,Australia,0,1st INNINGS,2,Australia,0
Eden,1960/61,Test # 501,Pakistan,301,127.2,1st INNINGS,301,0,121,146,0,127.2,0,6,Pakistan,0,1st INNINGS,2,drawn,2
Eden,1960/61,Test # 501,India,180,99.3,1st INNINGS,0,180,-121,0,127,0,99.3,6,Pakistan,0,1st INNINGS,1,drawn,2
Sydney,1960/61,Test # 502,West Indies,339,81.6,1st INNINGS,339,0,137,326,0,81.6,0,6,West Indies,0,1st INNINGS,2,West Indies,1
Sydney,1960/61,Test # 502,Australia,202,74.2,1st INNINGS,0,202,-137,0,241,0,74.2,6,West Indies,0,1st INNINGS,1,West Indies,0
Corporation,1960/61,Test # 503,Pakistan,448,182.5,1st INNINGS,448,0,-91,59,0,182.5,0,6,Pakistan,0,1st INNINGS,2,drawn,2
Corporation,1960/61,Test # 503,India,539,227,1st INNINGS,0,539,91,0,0,0,227,6,Pakistan,0,1st INNINGS,1,drawn,2
Adelaide,1960/61,Test # 504,West Indies,393,88.5,1st INNINGS,393,0,27,432,0,88.5,0,6,West Indies,0,1st INNINGS,2,drawn,2
Adelaide,1960/61,Test # 504,Australia,366,109.6,1st INNINGS,0,366,-27,0,273,0,109.6,6,West Indies,0,1st INNINGS,1,drawn,2
Feroz,1960/61,Test # 505,India,463,158,1st INNINGS,463,0,177,250,0,158,0,6,India,0,1st INNINGS,1,drawn,2
Feroz,1960/61,Test # 505,Pakistan,286,125.5,1st INNINGS,0,286,-177,0,16,0,125.5,6,India,0,1st INNINGS,2,drawn,2
Melbourne,1960/61,Test # 506,West Indies,292,89.7,1st INNINGS,292,0,-64,321,0,89.7,0,6,0,Australia,1st INNINGS,2,Australia,0
Melbourne,1960/61,Test # 506,Australia,356,121.4,1st INNINGS,0,356,64,0,258,0,121.4,6,0,Australia,1st INNINGS,1,Australia,1
"Edgbaston,",1961,Test # 507,England,195,84.3,1st INNINGS,195,0,-321,401,0,84.3,0,6,England,0,1st INNINGS,1,drawn,2
"Edgbaston,",1961,Test # 507,Australia,516,152.5,1st INNINGS,0,516,321,0,0,0,152.5,6,England,0,1st INNINGS,2,drawn,2
"Lord's,",1961,Test # 508,England,206,78.3,1st INNINGS,206,0,-134,202,0,78.3,0,5,England,0,1st INNINGS,1,Australia,0
"Lord's,",1961,Test # 508,Australia,340,139.3,1st INNINGS,0,340,134,0,71,0,139.3,5,England,0,1st INNINGS,2,Australia,1
"Headingley,",1961,Test # 509,Australia,237,110,1st INNINGS,237,0,-62,120,0,110,0,3,Australia,0,1st INNINGS,2,England,0
"Headingley,",1961,Test # 509,England,299,149,1st INNINGS,0,299,62,0,62,0,149,3,Australia,0,1st INNINGS,1,England,1
Old,1961,Test # 510,Australia,190,63.4,1st INNINGS,190,0,-177,432,0,63.4,0,6,Australia,0,1st INNINGS,2,Australia,1
Old,1961,Test # 510,England,367,163.4,1st INNINGS,0,367,177,0,201,0,163.4,6,Australia,0,1st INNINGS,1,Australia,0
Kennington,1961,Test # 511,England,256,118.1,1st INNINGS,256,0,-238,370,0,118.1,0,6,England,0,1st INNINGS,1,drawn,2
Kennington,1961,Test # 511,Australia,494,165.5,1st INNINGS,0,494,238,0,0,0,165.5,6,England,0,1st INNINGS,2,drawn,2
Lahore,1961/62,Test # 512,Pakistan,387,142.5,1st INNINGS,387,0,7,200,0,142.5,0,6,Pakistan,0,1st INNINGS,1,England,0
Lahore,1961/62,Test # 512,England,380,174.1,1st INNINGS,0,380,-7,0,209,0,174.1,6,Pakistan,0,1st INNINGS,2,England,1
Brabourne,1961/62,Test # 513,England,500,173,1st INNINGS,500,0,110,184,0,173,0,6,England,0,1st INNINGS,2,drawn,2
Brabourne,1961/62,Test # 513,India,390,168,1st INNINGS,0,390,-110,0,180,0,168,6,England,0,1st INNINGS,1,drawn,2
Green,1961/62,Test # 514,India,467,198,1st INNINGS,467,0,223,497,0,198,0,6,India,0,1st INNINGS,1,drawn,2
Green,1961/62,Test # 514,England,244,106.3,1st INNINGS,0,244,-223,0,0,0,106.3,6,India,0,1st INNINGS,2,drawn,2
"Kingsmead,",1961/62,Test # 515,South Africa,292,88.5,1st INNINGS,292,0,47,149,0,88.5,0,5,South Africa,0,1st INNINGS,1,South Africa,1
"Kingsmead,",1961/62,Test # 515,New Zealand,245,99.3,1st INNINGS,0,245,-47,0,166,0,99.3,5,South Africa,0,1st INNINGS,2,South Africa,0
Feroz,1961/62,Test # 516,India,466,177.3,1st INNINGS,466,0,210,0,0,177.3,0,6,India,0,1st INNINGS,1,drawn,2
Feroz,1961/62,Test # 516,England,256,114,1st INNINGS,0,256,-210,0,0,0,114,6,India,0,1st INNINGS,2,drawn,2
New,1961/62,Test # 517,South Africa,322,103.2,1st INNINGS,322,0,99,178,0,103.2,0,4,South Africa,0,1st INNINGS,1,drawn,2
New,1961/62,Test # 517,New Zealand,223,92.3,1st INNINGS,0,223,-99,0,165,0,92.3,4,South Africa,0,1st INNINGS,2,drawn,2
Eden,1961/62,Test # 518,India,380,156,1st INNINGS,380,0,168,252,0,156,0,6,India,0,1st INNINGS,1,India,1
Eden,1961/62,Test # 518,England,212,79.2,1st INNINGS,0,212,-168,0,233,0,79.2,6,India,0,1st INNINGS,2,India,0
"Newlands,",1961/62,Test # 519,New Zealand,385,157.5,1st INNINGS,385,0,195,212,0,157.5,0,4,New Zealand,0,1st INNINGS,2,New Zealand,1
"Newlands,",1961/62,Test # 519,South Africa,190,68.4,1st INNINGS,0,190,-195,0,335,0,68.4,4,New Zealand,0,1st INNINGS,1,New Zealand,0
Corporation,1961/62,Test # 520,India,428,144.3,1st INNINGS,428,0,147,190,0,144.3,0,6,India,0,1st INNINGS,1,India,1
Corporation,1961/62,Test # 520,England,281,110.1,1st INNINGS,0,281,-147,0,209,0,110.1,6,India,0,1st INNINGS,2,India,0
Dacca,1961/62,Test # 521,Pakistan,393,192.3,1st INNINGS,393,0,-46,216,0,192.3,0,6,Pakistan,0,1st INNINGS,1,drawn,2
Dacca,1961/62,Test # 521,England,439,181,1st INNINGS,0,439,46,0,38,0,181,6,Pakistan,0,1st INNINGS,2,drawn,2
National,1961/62,Test # 522,Pakistan,253,95,1st INNINGS,253,0,-254,404,0,95,0,6,Pakistan,0,1st INNINGS,1,drawn,2
National,1961/62,Test # 522,England,507,233.5,1st INNINGS,0,507,254,0,0,0,233.5,6,Pakistan,0,1st INNINGS,2,drawn,2
New,1961/62,Test # 523,New Zealand,164,53.1,1st INNINGS,164,0,-300,249,0,53.1,0,4,New Zealand,0,1st INNINGS,2,South Africa,0
New,1961/62,Test # 523,South Africa,464,124.2,1st INNINGS,0,464,300,0,0,0,124.2,4,New Zealand,0,1st INNINGS,1,South Africa,1
Crusaders,1961/62,Test # 524,New Zealand,275,111.2,1st INNINGS,275,0,85,228,0,111.2,0,5,New Zealand,0,1st INNINGS,2,New Zealand,1
Crusaders,1961/62,Test # 524,South Africa,190,72.4,1st INNINGS,0,190,-85,0,273,0,72.4,5,New Zealand,0,1st INNINGS,1,New Zealand,0
Queen's,1961/62,Test # 525,India,203,73.3,1st INNINGS,203,0,-86,98,0,73.3,0,5,India,0,1st INNINGS,2,West Indies,0
Queen's,1961/62,Test # 525,West Indies,289,113.2,1st INNINGS,0,289,86,0,15,0,113.2,5,India,0,1st INNINGS,1,West Indies,1
Sabina,1961/62,Test # 526,India,395,141,1st INNINGS,395,0,-236,218,0,141,0,6,India,0,1st INNINGS,2,West Indies,0
Sabina,1961/62,Test # 526,West Indies,631,217.4,1st INNINGS,0,631,236,0,0,0,217.4,6,India,0,1st INNINGS,1,West Indies,1
Kensington,1961/62,Test # 527,India,258,89.1,1st INNINGS,258,0,-217,187,0,89.1,0,6,0,West Indies,1st INNINGS,2,West Indies,0
Kensington,1961/62,Test # 527,West Indies,475,241.3,1st INNINGS,0,475,217,0,0,0,241.3,6,0,West Indies,1st INNINGS,1,West Indies,1
Queen's,1961/62,Test # 528,West Indies,444,176,1st INNINGS,444,0,247,422,0,176,0,6,West Indies,0,1st INNINGS,1,West Indies,1
Queen's,1961/62,Test # 528,India,197,80.3,1st INNINGS,0,197,-247,0,176,0,80.3,6,West Indies,0,1st INNINGS,2,West Indies,0
Sabina,1961/62,Test # 529,West Indies,253,76.2,1st INNINGS,253,0,75,283,0,76.2,0,6,West Indies,0,1st INNINGS,1,West Indies,1
Sabina,1961/62,Test # 529,India,178,67.2,1st INNINGS,0,178,-75,0,235,0,67.2,6,West Indies,0,1st INNINGS,2,West Indies,0
"Edgbaston,",1962,Test # 530,England,544,146,1st INNINGS,544,0,298,274,0,146,0,5,England,0,1st INNINGS,1,England,1
"Edgbaston,",1962,Test # 530,Pakistan,246,101,1st INNINGS,0,246,-298,0,0,0,101,5,England,0,1st INNINGS,2,England,0
"Lord's,",1962,Test # 531,Pakistan,100,43.4,1st INNINGS,100,0,-270,355,0,43.4,0,3,Pakistan,0,1st INNINGS,2,England,0
"Lord's,",1962,Test # 531,England,370,101.4,1st INNINGS,0,370,270,0,86,0,101.4,3,Pakistan,0,1st INNINGS,1,England,1
"Headingley,",1962,Test # 532,England,428,132,1st INNINGS,428,0,297,180,0,132,0,3,0,Pakistan,1st INNINGS,1,England,1
"Headingley,",1962,Test # 532,Pakistan,131,65.1,1st INNINGS,0,131,-297,0,0,0,65.1,3,0,Pakistan,1st INNINGS,2,England,0
Trent,1962,Test # 533,England,428,136.2,1st INNINGS,428,0,209,216,0,136.2,0,6,0,Pakistan,1st INNINGS,1,drawn,2
Trent,1962,Test # 533,Pakistan,219,86.1,1st INNINGS,0,219,-209,0,0,0,86.1,6,0,Pakistan,1st INNINGS,2,drawn,2
Kennington,1962,Test # 534,England,480,140,1st INNINGS,480,0,297,323,0,140,0,5,England,0,1st INNINGS,1,England,1
Kennington,1962,Test # 534,Pakistan,183,97,1st INNINGS,0,183,-297,0,27,0,97,5,England,0,1st INNINGS,2,England,0
Brisbane,1962/63,Test # 535,Australia,404,106.5,1st INNINGS,404,0,15,362,0,106.5,0,6,Australia,0,1st INNINGS,1,drawn,2
Brisbane,1962/63,Test # 535,England,389,135.3,1st INNINGS,0,389,-15,0,278,0,135.3,6,Australia,0,1st INNINGS,2,drawn,2
Melbourne,1962/63,Test # 536,Australia,316,92,1st INNINGS,316,0,-15,248,0,92,0,6,Australia,0,1st INNINGS,1,England,0
Melbourne,1962/63,Test # 536,England,331,88.1,1st INNINGS,0,331,15,0,237,0,88.1,6,Australia,0,1st INNINGS,2,England,1
Sydney,1962/63,Test # 537,England,279,86.5,1st INNINGS,279,0,-40,104,0,86.5,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1962/63,Test # 537,Australia,319,101.2,1st INNINGS,0,319,40,0,67,0,101.2,5,England,0,1st INNINGS,1,Australia,1
Adelaide,1962/63,Test # 538,Australia,393,103.1,1st INNINGS,393,0,62,293,0,103.1,0,6,Australia,0,1st INNINGS,1,drawn,2
Adelaide,1962/63,Test # 538,England,331,90.2,1st INNINGS,0,331,-62,0,223,0,90.2,6,Australia,0,1st INNINGS,2,drawn,2
Sydney,1962/63,Test # 539,England,321,134.6,1st INNINGS,321,0,-28,268,0,134.6,0,6,England,0,1st INNINGS,2,drawn,2
Sydney,1962/63,Test # 539,Australia,349,131.2,1st INNINGS,0,349,28,0,152,0,131.2,6,England,0,1st INNINGS,1,drawn,2
Eden,1962/63,Test # 540,England,562,186,1st INNINGS,562,0,304,89,0,186,0,5,England,0,1st INNINGS,2,England,1
Eden,1962/63,Test # 540,New Zealand,258,110.4,1st INNINGS,0,258,-304,0,0,0,110.4,5,England,0,1st INNINGS,1,England,0
Basin,1962/63,Test # 541,New Zealand,194,76.3,1st INNINGS,194,0,-234,187,0,76.3,0,4,0,England,1st INNINGS,1,England,0
Basin,1962/63,Test # 541,England,428,149,1st INNINGS,0,428,234,0,0,0,149,4,0,England,1st INNINGS,2,England,1
Lancaster,1962/63,Test # 542,New Zealand,266,118.2,1st INNINGS,266,0,13,159,0,118.2,0,5,New Zealand,0,1st INNINGS,1,England,0
Lancaster,1962/63,Test # 542,England,253,95.5,1st INNINGS,0,253,-13,0,173,0,95.5,5,New Zealand,0,1st INNINGS,2,England,1
Old,1963,Test # 543,West Indies,501,196,1st INNINGS,501,0,296,296,0,196,0,5,West Indies,0,1st INNINGS,2,West Indies,1
Old,1963,Test # 543,England,205,90.3,1st INNINGS,0,205,-296,0,0,0,90.3,5,West Indies,0,1st INNINGS,1,West Indies,0
"Lord's,",1963,Test # 544,West Indies,301,133.2,1st INNINGS,301,0,4,229,0,133.2,0,6,West Indies,0,1st INNINGS,2,drawn,2
"Lord's,",1963,Test # 544,England,297,102,1st INNINGS,0,297,-4,0,228,0,102,6,West Indies,0,1st INNINGS,1,drawn,2
"Edgbaston,",1963,Test # 545,England,216,98.4,1st INNINGS,216,0,30,278,0,98.4,0,6,England,0,1st INNINGS,1,England,1
"Edgbaston,",1963,Test # 545,West Indies,186,69,1st INNINGS,0,186,-30,0,91,0,69,6,England,0,1st INNINGS,2,England,0
"Headingley,",1963,Test # 546,West Indies,397,164.4,1st INNINGS,397,0,223,229,0,164.4,0,5,West Indies,0,1st INNINGS,2,West Indies,1
"Headingley,",1963,Test # 546,England,174,54,1st INNINGS,0,174,-223,0,231,0,54,5,West Indies,0,1st INNINGS,1,West Indies,0
Kennington,1963,Test # 547,England,275,102.2,1st INNINGS,275,0,29,223,0,102.2,0,5,England,0,1st INNINGS,1,West Indies,0
Kennington,1963,Test # 547,West Indies,246,104.1,1st INNINGS,0,246,-29,0,255,0,104.1,5,England,0,1st INNINGS,2,West Indies,1
Brisbane,1963/64,Test # 548,Australia,435,114.6,1st INNINGS,435,0,89,144,0,114.6,0,6,Australia,0,1st INNINGS,1,drawn,2
Brisbane,1963/64,Test # 548,South Africa,346,135.5,1st INNINGS,0,346,-89,0,13,0,135.5,6,Australia,0,1st INNINGS,2,drawn,2
Melbourne,1963/64,Test # 549,South Africa,274,78,1st INNINGS,274,0,-173,306,0,78,0,6,0,Australia,1st INNINGS,2,Australia,0
Melbourne,1963/64,Test # 549,Australia,447,118.3,1st INNINGS,0,447,173,0,136,0,118.3,6,0,Australia,1st INNINGS,1,Australia,1
Sydney,1963/64,Test # 550,Australia,260,62.6,1st INNINGS,260,0,-42,450,0,62.6,0,6,Australia,0,1st INNINGS,1,drawn,2
Sydney,1963/64,Test # 550,South Africa,302,92.1,1st INNINGS,0,302,42,0,326,0,92.1,6,Australia,0,1st INNINGS,2,drawn,2
Corporation,1963/64,Test # 551,India,457,162,1st INNINGS,457,0,140,152,0,162,0,6,India,0,1st INNINGS,1,drawn,2
Corporation,1963/64,Test # 551,England,317,190.4,1st INNINGS,0,317,-140,0,241,0,190.4,6,India,0,1st INNINGS,2,drawn,2
Brabourne,1963/64,Test # 552,India,300,113.3,1st INNINGS,300,0,67,249,0,113.3,0,6,India,0,1st INNINGS,1,drawn,2
Brabourne,1963/64,Test # 552,England,233,130,1st INNINGS,0,233,-67,0,206,0,130,6,India,0,1st INNINGS,2,drawn,2
Adelaide,1963/64,Test # 553,Australia,345,93.6,1st INNINGS,345,0,-250,331,0,93.6,0,6,Australia,0,1st INNINGS,1,South Africa,0
Adelaide,1963/64,Test # 553,South Africa,595,123.1,1st INNINGS,0,595,250,0,82,0,123.1,6,Australia,0,1st INNINGS,2,South Africa,1
Eden,1963/64,Test # 554,India,241,85.2,1st INNINGS,241,0,-26,300,0,85.2,0,6,India,0,1st INNINGS,1,drawn,2
Eden,1963/64,Test # 554,England,267,148.5,1st INNINGS,0,267,26,0,145,0,148.5,6,India,0,1st INNINGS,2,drawn,2
Sydney,1963/64,Test # 555,Australia,311,92.1,1st INNINGS,311,0,-100,270,0,92.1,0,6,0,South Africa,1st INNINGS,1,drawn,2
Sydney,1963/64,Test # 555,South Africa,411,145,1st INNINGS,0,411,100,0,76,0,145,6,0,South Africa,1st INNINGS,2,drawn,2
Feroz,1963/64,Test # 556,India,344,148,1st INNINGS,344,0,-107,463,0,148,0,6,India,0,1st INNINGS,1,drawn,2
Feroz,1963/64,Test # 556,England,451,185.3,1st INNINGS,0,451,107,0,0,0,185.3,6,India,0,1st INNINGS,2,drawn,2
Green,1963/64,Test # 557,England,559,203,1st INNINGS,559,0,293,347,0,203,0,6,0,India,1st INNINGS,2,drawn,2
